body_index,force_x,force_y
0,4602.64,-3127.47
1,-1.10343e+08,1.13929e+08
2,3.56111e+07,1.33719e+08
3,-6.16478e+06,1.50571e+08
4,9.16091e+07,1.16807e+08
5,6.23175e+07,-1.31242e+08
6,-1.10062e+08,-9.44712e+07
7,1.30191e+08,-1.14858e+07
8,-1.41153e+08,7.31402e+06
9,8.65019e+07,-1.24528e+08
10,9.62093e+07,-9.8481e+07
11,1.36511e+08,1.07256e+07
12,4.0304e+07,1.26575e+08
13,-1.29333e+08,-337011
14,8.71973e+07,-9.99547e+07
15,-1.30454e+08,-1.18233e+07
16,1.32469e+08,4.75106e+06
17,-1.20899e+08,-1.12413e+07
18,-9.14961e+07,7.63063e+07
19,-5.76744e+06,-1.17538e+08
20,1.19406e+08,1.07821e+07
21,9.03951e+06,1.12427e+08
22,5.75826e+07,9.54704e+07
23,9.72778e+07,-4.33719e+07
24,2.54074e+07,-1.03398e+08
25,-4.73879e+07,-9.10831e+07
26,-9.60097e+07,3.23151e+07
27,-7.11397e+07,7.8931e+07
28,-9.86526e+07,2.55679e+07
29,-3.50688e+07,9.37243e+07
30,-7.47111e+07,-6.91108e+07
31,4.95025e+07,8.53635e+07
32,-1.03159e+08,-1.97994e+06
33,-6.13185e+07,-6.1969e+07
34,-5.23747e+07,8.11596e+07
35,-4.73062e+06,-9.37567e+07
36,-9.18141e+07,-7.97513e+06
37,5.28475e+07,7.52864e+07
38,-8.4519e+07,-3.6406e+07
39,-4.53571e+07,-8.5923e+07
40,8.33416e+07,-4.0905e+07
41,4.06133e+07,-8.06309e+07
42,-8.57989e+07,-2.85877e+07
43,8.59867e+07,2.60738e+07
44,-4.69446e+07,-7.65314e+07
45,-6.98413e+06,8.4808e+07
46,-8.12664e+07,-2.33238e+07
47,4.4906e+07,6.06282e+07
48,7.69308e+07,2.98228e+07
49,-3.53467e+07,-6.90918e+07
50,-1.10892e+07,8.17958e+07
51,5.50798e+07,-5.96166e+07
52,-2.63993e+07,7.96492e+07
53,-7.48022e+07,1.7672e+07
54,-3.09769e+07,-7.57663e+07
55,-7.97046e+07,-1.81445e+07
56,2.59412e+07,7.23344e+07
57,4.61167e+07,7.43597e+07
58,-5.64757e+07,-5.46831e+07
59,-1.53857e+07,-7.46623e+07
60,-6.77503e+07,-2.96432e+07
61,-7.0904e+07,2.09868e+07
