body_index,force_x,force_y
0,4608.77,-3184.61
1,-1.10347e+08,1.13928e+08
2,3.55878e+07,1.33724e+08
3,-6.19458e+06,1.50576e+08
4,9.16224e+07,1.16797e+08
5,6.23012e+07,-1.31249e+08
6,-1.10074e+08,-9.44531e+07
7,1.30189e+08,-1.15039e+07
8,-1.41151e+08,7.35368e+06
9,8.6474e+07,-1.24541e+08
10,9.62123e+07,-9.84831e+07
11,1.36506e+08,1.0724e+07
12,4.02882e+07,1.26584e+08
13,-1.29334e+08,-317574
14,8.71632e+07,-9.99668e+07
15,-1.30452e+08,-1.18022e+07
16,1.32482e+08,4.77902e+06
17,-1.20902e+08,-1.1247e+07
18,-9.14816e+07,7.63208e+07
19,-5.79126e+06,-1.17528e+08
20,1.1941e+08,1.07947e+07
21,9.05952e+06,1.12418e+08
22,5.75844e+07,9.54683e+07
23,9.72809e+07,-4.33705e+07
24,2.53787e+07,-1.03402e+08
25,-4.73859e+07,-9.1076e+07
26,-9.60151e+07,3.23307e+07
27,-7.11382e+07,7.89306e+07
28,-9.86451e+07,2.55692e+07
29,-3.50342e+07,9.37389e+07
30,-7.47083e+07,-6.91114e+07
31,4.95102e+07,8.53494e+07
32,-1.03157e+08,-1.98085e+06
33,-6.13492e+07,-6.18842e+07
34,-5.23527e+07,8.11705e+07
35,-4.74776e+06,-9.37582e+07
36,-9.18049e+07,-7.94381e+06
37,5.28562e+07,7.52718e+07
38,-8.45266e+07,-3.63798e+07
39,-4.53211e+07,-8.59609e+07
40,8.33469e+07,-4.08958e+07
41,4.06036e+07,-8.06345e+07
42,-8.57886e+07,-2.8568e+07
43,8.59885e+07,2.60685e+07
44,-4.69177e+07,-7.65563e+07
45,-6.96118e+06,8.48181e+07
46,-8.12705e+07,-2.33341e+07
47,4.49204e+07,6.06027e+07
48,7.69283e+07,2.98156e+07
49,-3.53527e+07,-6.90835e+07
50,-1.10777e+07,8.1794e+07
51,5.50609e+07,-5.96339e+07
52,-2.63916e+07,7.96531e+07
53,-7.48139e+07,1.766e+07
54,-3.09921e+07,-7.57651e+07
55,-7.97081e+07,-1.81562e+07
56,2.59569e+07,7.23266e+07
57,4.61351e+07,7.43332e+07
58,-5.64845e+07,-5.46726e+07
59,-1.53816e+07,-7.46688e+07
60,-6.77553e+07,-2.96452e+07
61,-7.08873e+07,2.09967e+07
62,-4.89686e+07,-4.51564e+07
63,-4.16532e+07,-5.75098e+07
64,-1.75061e+07,-7.27696e+07
65,-5.45575e+07,4.12003e+07
66,3.46966e+07,6.34167e+07
67,-6.99413e+07,2.17931e+07
68,-6.95223e+07,1.09621e+07
69,-3.92121e+07,-6.21498e+07
70,5.23005e+07,-4.29281e+07
71,6.41576e+07,-2.62243e+07
72,-6.60827e+07,-1.59091e+07
73,-2.05687e+06,-6.47235e+07
74,-6.49289e+07,-3.23508e+07
75,-3.94539e+07,-5.18696e+07
76,4.00932e+07,4.96535e+07
77,3.44588e+07,-4.68165e+07
78,2.78465e+07,5.6086e+07
79,1.43831e+07,-6.19152e+07
80,5.34855e+07,2.29433e+07
81,-6.05947e+07,3.90714e+06
82,-3.98719e+07,-4.49058e+07
83,3.92339e+07,-4.66936e+07
84,1.08651e+07,-5.71666e+07
85,4.32393e+07,3.83075e+07
86,4.46335e+07,-3.98174e+07
87,5.40581e+07,2.43763e+07
88,-3.58922e+07,-4.7742e+07
89,-1.41526e+07,-5.55345e+07
90,3.8081e+07,-4.94149e+07
91,-9.20568e+06,-5.20275e+07
92,-2.39306e+07,-5.07676e+07
93,1.81349e+07,5.45818e+07
94,1.30778e+07,-5.32981e+07
95,4.00999e+06,5.58407e+07
96,-4.72548e+07,2.11682e+07
97,-5.20836e+07,-1.98592e+07
98,3.68704e+07,4.13124e+07
99,-5.51157e+07,1.04452e+07
100,-6.98136e+06,-5.8237e+07
101,5.20925e+07,-5.60647e+06
102,2.66406e+07,-4.73077e+07
103,-1.9344e+07,4.85638e+07
104,-2.48749e+07,4.65066e+07
105,-4.43009e+07,-3.96343e+07
106,4.50886e+07,2.36821e+07
107,3.37696e+07,-3.9198e+07
108,4.96671e+07,2.51651e+06
109,-2.60862e+07,4.37152e+07
110,-4.33156e+07,-2.70953e+07
111,4.38705e+07,-2.01224e+07
112,3.21792e+06,4.96415e+07
113,-3.85056e+07,2.85634e+07
114,4.6216e+07,-1.21042e+07
115,-4.79411e+07,1.51607e+07
116,-8.96495e+06,-4.77942e+07
117,-1.86647e+06,-4.58062e+07
118,4.64879e+07,-956044
119,-4.56172e+07,-7.17796e+06
120,-1.93007e+07,4.54547e+07
121,4.76703e+07,520530
122,-3.31534e+07,-3.12414e+07
123,2.79142e+07,-3.67791e+07
124,-3.16378e+07,3.12493e+07
125,4.29346e+07,1.54001e+07
126,3.96245e+07,2.29511e+07
127,3.67386e+07,2.77916e+07
128,-1.19653e+07,4.22361e+07
129,-3.42815e+07,2.92386e+07
130,1.71885e+07,4.01341e+07
131,4.10958e+07,-1.62106e+07
132,-1.88549e+07,3.92698e+07
133,-1.67489e+07,-4.25021e+07
134,-3.88779e+07,2.01025e+07
135,1.20344e+07,4.17426e+07
136,-2.43106e+07,-3.42621e+07
137,-1.30382e+07,-3.71471e+07
138,3.97969e+07,6.27347e+06
139,-1.26596e+07,-3.49436e+07
140,388223,-4.59915e+07
141,3.82969e+07,2.41855e+07
142,-1.43809e+07,-3.37242e+07
143,-1.83949e+06,-4.10305e+07
144,7.68664e+06,3.84175e+07
145,-3.46331e+07,1.00644e+07
146,-6.43291e+06,3.60452e+07
147,-3.25597e+07,2.24707e+07
148,-4.49455e+07,-4.00751e+06
149,2.70099e+07,-2.51018e+07
150,3.6776e+07,-9.10444e+06
151,2.93741e+06,-4.35063e+07
152,3.47286e+07,1.30454e+07
153,-4.57194e+07,-4.51632e+06
154,-1.51813e+07,4.02787e+07
155,-3.53375e+07,-1.48768e+07
156,1.62155e+07,-3.30585e+07
157,-3.6801e+07,7.49565e+06
158,-2.07823e+07,3.18397e+07
159,-2.98488e+07,1.63228e+07
160,3.74225e+07,-2.117e+07
161,-3.82442e+07,1.04926e+07
162,3.62582e+07,-9.68415e+06
163,2.92775e+07,-2.43366e+07
164,2.11338e+07,-2.88326e+07
165,1.49683e+07,-3.38312e+07
166,-3.83881e+07,4.84135e+06
167,3.42495e+07,-1.56269e+07
168,3.6348e+07,2.04076e+07
169,1.17025e+07,3.45551e+07
170,-1.18131e+07,3.33232e+07
171,-3.93274e+07,3.40226e+06
172,-2.68917e+07,2.01598e+07
173,3.42836e+07,6.85018e+06
174,3.39339e+07,-6.76619e+06
175,-1.48605e+07,-3.22506e+07
176,1.33629e+07,-3.15745e+07
177,-3.01965e+07,-1.46662e+07
178,3.58476e+07,1.93906e+06
179,2.52526e+07,-2.23765e+07
180,-1.16098e+06,-3.43704e+07
181,-2.30833e+07,2.60795e+07
182,3.0752e+07,-1.51226e+07
183,3.36333e+07,-6.07344e+06
184,-2.83935e+07,-2.07837e+07
185,-1.35606e+07,-3.34428e+07
186,-2.85142e+07,-1.28866e+07
187,3.18473e+07,-5.07672e+06
188,3.31794e+07,1.17876e+06
189,1.62402e+07,3.00724e+07
190,2.57984e+07,2.11244e+07
191,1.90242e+07,2.42167e+07
192,9.06017e+06,2.96096e+07
193,6.48537e+06,3.32909e+07
194,1.76395e+07,2.34149e+07
195,2.86292e+07,1.53841e+07
196,-8.99836e+06,2.63823e+07
197,4.36738e+06,-3.05027e+07
198,-5.71171e+06,3.21213e+07
199,-3.17843e+07,1.16327e+06
200,-2.4795e+07,-1.88219e+07
201,1.73966e+07,2.6642e+07
202,1.86543e+06,-2.96291e+07
203,1.26531e+07,2.76352e+07
204,-1.0086e+07,2.7678e+07
205,-1.5617e+07,2.88419e+07
206,-1.49732e+07,2.70299e+07
207,2.86681e+07,8.13485e+06
208,-2.83037e+07,-1.24787e+07
209,-2.03716e+07,-2.16112e+07
210,7.62991e+06,-3.05774e+07
211,-8.80485e+06,-2.83848e+07
212,-3.93811e+06,2.80758e+07
213,-2.38816e+07,-1.83124e+07
214,1.69173e+07,-2.48095e+07
215,-2.00301e+07,-2.34433e+07
216,2.52181e+07,-1.65449e+07
217,9.9597e+06,2.75348e+07
218,-2.79173e+07,-850093
219,2.06336e+07,1.90831e+07
220,781540,-2.67344e+07
221,2.42004e+07,1.51304e+07
222,-2.82732e+07,-1.0831e+07
223,-1.95417e+07,2.04405e+07
224,2.81831e+07,8.95481e+06
225,2.8907e+07,-6.76155e+06
226,-2.74681e+07,8.17181e+06
227,2.66311e+07,-1.01116e+07
228,9.72754e+06,-2.49681e+07
229,-7.07189e+06,2.68748e+07
230,-1.14658e+07,2.62039e+07
231,-2.70588e+07,-1.42569e+06
232,2.39002e+07,1.36344e+07
233,1.05635e+07,2.70872e+07
234,1.07096e+07,-2.43938e+07
235,-1.07765e+07,-2.58745e+07
236,-1.80906e+07,2.06311e+07
237,1.52618e+07,-1.9949e+07
238,5.33597e+06,-2.60082e+07
239,-1.81953e+07,-2.13594e+07
240,4.51848e+06,2.57091e+07
241,2.45074e+06,-2.96491e+07
242,-2.55483e+07,-7.89148e+06
243,-1.10063e+06,-2.46618e+07
244,1.75001e+07,1.8059e+07
245,2.58259e+07,4.02812e+06
246,1.63592e+07,-2.01438e+07
247,-1.80968e+07,2.06217e+07
248,2.35264e+07,-1.22591e+07
249,1.66886e+07,1.91526e+07
250,8.9649e+06,2.41747e+07
251,-3.82629e+06,2.56891e+07
252,-2.5197e+07,5.2334e+06
253,1.18888e+07,-2.37615e+07
254,-2.38134e+07,6.87663e+06
255,7.57535e+06,-2.30231e+07
256,1.6681e+07,-1.91282e+07
257,2.58898e+07,334936
258,2.07857e+07,1.32813e+07
259,1.28341e+07,-2.50172e+07
260,-2.05688e+07,-1.70576e+07
261,-1.40297e+07,-2.0265e+07
262,3.33986e+06,-2.4739e+07
263,2.56376e+07,4.95594e+06
264,1.83585e+07,-1.76211e+07
265,1.76222e+07,1.6278e+07
266,-2.29894e+07,-8.88751e+06
267,-9.15726e+06,2.3922e+07
268,-2.4607e+07,-6.03409e+06
269,-2.2554e+07,-8.11245e+06
270,-2.6671e+07,-2.93864e+06
271,1.68636e+07,1.92134e+07
272,2.34622e+07,-5.26242e+06
273,-1.17601e+07,2.12096e+07
274,3.2354e+06,2.35832e+07
275,-2.19435e+07,1.53817e+06
276,1.75216e+07,-1.76976e+07
277,-1.38407e+07,1.69746e+07
278,-2.17502e+07,-1.18723e+07
279,-2.02654e+07,1.8513e+07
280,1.69017e+07,-1.82648e+07
281,-2.13515e+07,-1.22322e+07
282,1.05705e+07,-2.30024e+07
283,2.0608e+07,-1.05963e+07
284,8.47652e+06,2.2371e+07
285,2.36243e+07,5.31649e+06
286,2.61195e+07,-4.59139e+06
287,-1.87718e+07,1.48776e+07
288,2.02776e+07,-1.082e+07
289,-2.25903e+07,-9.94437e+06
290,5.23911e+06,2.17318e+07
291,1.97558e+07,1.02402e+07
292,2.07423e+07,-8.95442e+06
293,1.44126e+07,1.91358e+07
294,1.80225e+07,1.24265e+07
295,1.21092e+07,-1.99779e+07
296,4.45789e+06,-2.26566e+07
297,-1.35639e+07,-1.83576e+07
298,1.7804e+07,1.61353e+07
299,1.94163e+07,-1.38994e+07
300,1.67129e+07,1.69496e+07
301,-1.08596e+07,-2.04849e+07
302,2.05124e+07,1.14911e+07
303,-4.84481e+06,-2.02871e+07
304,2.38501e+07,-9.52004e+06
305,5.1303e+06,-2.31159e+07
306,4.72007e+06,2.15032e+07
307,1.71976e+07,-1.48858e+07
308,-2.06199e+07,8.7852e+06
309,-1.49836e+07,2.00261e+07
310,-8.28985e+06,-2.04674e+07
311,1.17678e+07,-1.7608e+07
312,1.96913e+07,8.92547e+06
313,1.67515e+07,1.61356e+07
314,1.04292e+07,-1.64999e+07
