body_index,force_x,force_y
0,4529.52,-3406.34
1,-1.10341e+08,1.13931e+08
2,3.55972e+07,1.3372e+08
3,-6.17482e+06,1.50574e+08
4,9.16176e+07,1.16799e+08
5,6.23098e+07,-1.31245e+08
6,-1.10066e+08,-9.44654e+07
7,1.30188e+08,-1.15076e+07
8,-1.41152e+08,7.33505e+06
9,8.64858e+07,-1.24543e+08
10,9.6211e+07,-9.84818e+07
11,1.36505e+08,1.07117e+07
12,4.02931e+07,1.26578e+08
13,-1.29335e+08,-324825
14,8.71581e+07,-9.99663e+07
15,-1.30453e+08,-1.18056e+07
16,1.32477e+08,4.76085e+06
17,-1.20903e+08,-1.12399e+07
18,-9.14949e+07,7.6309e+07
19,-5.79511e+06,-1.17526e+08
20,1.19406e+08,1.07826e+07
21,9.04565e+06,1.12423e+08
22,5.75823e+07,9.54706e+07
23,9.72788e+07,-4.33742e+07
24,2.53899e+07,-1.034e+08
25,-4.73892e+07,-9.1079e+07
26,-9.6014e+07,3.23293e+07
27,-7.11274e+07,7.8939e+07
28,-9.86451e+07,2.55724e+07
29,-3.50563e+07,9.37297e+07
30,-7.47011e+07,-6.91176e+07
31,4.95094e+07,8.53512e+07
32,-1.0316e+08,-1.98404e+06
33,-6.13532e+07,-6.18767e+07
34,-5.23504e+07,8.11716e+07
35,-4.74785e+06,-9.37527e+07
36,-9.18049e+07,-7.9425e+06
37,5.28512e+07,7.5279e+07
38,-8.45259e+07,-3.63828e+07
39,-4.52815e+07,-8.59562e+07
40,8.33506e+07,-4.08926e+07
41,4.06053e+07,-8.06298e+07
42,-8.57931e+07,-2.85681e+07
43,8.59849e+07,2.60777e+07
44,-4.69587e+07,-7.65756e+07
45,-6.95597e+06,8.48156e+07
46,-8.12725e+07,-2.33318e+07
47,4.49115e+07,6.06272e+07
48,7.69277e+07,2.98179e+07
49,-3.53511e+07,-6.90912e+07
50,-1.10763e+07,8.17929e+07
51,5.50702e+07,-5.96244e+07
52,-2.63951e+07,7.96516e+07
53,-7.4809e+07,1.76637e+07
54,-3.09834e+07,-7.57625e+07
55,-7.97045e+07,-1.81473e+07
56,2.59584e+07,7.23257e+07
57,4.61329e+07,7.43274e+07
58,-5.64807e+07,-5.46784e+07
59,-1.53877e+07,-7.46601e+07
60,-6.77523e+07,-2.96499e+07
61,-7.08967e+07,2.09901e+07
62,-4.89736e+07,-4.51657e+07
63,-4.1655e+07,-5.7493e+07
64,-1.75018e+07,-7.27785e+07
65,-5.45522e+07,4.1206e+07
66,3.46911e+07,6.3415e+07
67,-6.99451e+07,2.17937e+07
68,-6.95213e+07,1.09702e+07
69,-3.92125e+07,-6.21455e+07
70,5.2302e+07,-4.29219e+07
71,6.41558e+07,-2.62224e+07
72,-6.60795e+07,-1.59127e+07
73,-2.05521e+06,-6.47226e+07
74,-6.49312e+07,-3.23587e+07
75,-3.94538e+07,-5.18682e+07
76,4.00939e+07,4.96499e+07
77,3.44529e+07,-4.68127e+07
78,2.78484e+07,5.60806e+07
79,1.43903e+07,-6.19139e+07
80,5.34868e+07,2.29467e+07
81,-6.05962e+07,3.90574e+06
82,-3.98659e+07,-4.49113e+07
83,3.92389e+07,-4.66937e+07
84,1.0872e+07,-5.71673e+07
85,4.32408e+07,3.83004e+07
86,4.46315e+07,-3.98175e+07
87,5.40581e+07,2.4377e+07
88,-3.58877e+07,-4.77441e+07
89,-1.4144e+07,-5.5538e+07
90,3.80793e+07,-4.94187e+07
91,-9.20294e+06,-5.20664e+07
92,-2.3929e+07,-5.07641e+07
93,1.81388e+07,5.45795e+07
94,1.3084e+07,-5.32976e+07
95,4.01443e+06,5.58408e+07
96,-4.72578e+07,2.11674e+07
97,-5.20854e+07,-1.98676e+07
98,3.68686e+07,4.1311e+07
99,-5.51171e+07,1.04445e+07
100,-6.98581e+06,-5.81976e+07
101,5.20947e+07,-5.60565e+06
102,2.66328e+07,-4.73081e+07
103,-1.93493e+07,4.85656e+07
104,-2.48716e+07,4.65064e+07
105,-4.43006e+07,-3.9621e+07
106,4.50866e+07,2.36801e+07
107,3.37655e+07,-3.91978e+07
108,4.96705e+07,2.51865e+06
109,-2.60842e+07,4.37165e+07
110,-4.33167e+07,-2.70924e+07
111,4.38711e+07,-2.01208e+07
112,3.22098e+06,4.96439e+07
113,-3.85077e+07,2.85616e+07
114,4.62169e+07,-1.21045e+07
115,-4.79439e+07,1.51587e+07
116,-8.96393e+06,-4.77954e+07
117,-1.86824e+06,-4.58059e+07
118,4.64891e+07,-956405
119,-4.56126e+07,-7.17479e+06
120,-1.93018e+07,4.54548e+07
121,4.76697e+07,519184
122,-3.31552e+07,-3.12378e+07
123,2.79117e+07,-3.67782e+07
124,-3.16403e+07,3.12484e+07
125,4.29347e+07,1.53964e+07
126,3.96228e+07,2.29469e+07
127,3.67386e+07,2.77857e+07
128,-1.19673e+07,4.2237e+07
129,-3.42809e+07,2.92383e+07
130,1.7192e+07,4.0131e+07
131,4.10965e+07,-1.6211e+07
132,-1.88579e+07,3.9271e+07
133,-1.67487e+07,-4.25025e+07
134,-3.88838e+07,2.00987e+07
135,1.20378e+07,4.17406e+07
136,-2.43102e+07,-3.42624e+07
137,-1.30387e+07,-3.71475e+07
138,3.97951e+07,6.27112e+06
139,-1.26597e+07,-3.49437e+07
140,388466,-4.59922e+07
141,3.82972e+07,2.41824e+07
142,-1.43812e+07,-3.37233e+07
143,-1.84504e+06,-4.10265e+07
144,7.68678e+06,3.84186e+07
145,-3.46241e+07,1.00758e+07
146,-6.43487e+06,3.60476e+07
147,-3.25621e+07,2.24699e+07
148,-4.49453e+07,-4.00536e+06
149,2.70087e+07,-2.51047e+07
150,3.67778e+07,-9.1044e+06
151,2.93075e+06,-4.35022e+07
152,3.47278e+07,1.30434e+07
153,-4.57203e+07,-4.50991e+06
154,-1.51826e+07,4.02775e+07
155,-3.53385e+07,-1.48795e+07
156,1.62165e+07,-3.30587e+07
157,-3.67905e+07,7.49267e+06
158,-2.07907e+07,3.18395e+07
159,-2.98591e+07,1.63192e+07
160,3.74207e+07,-2.11696e+07
161,-3.82521e+07,1.04881e+07
162,3.62535e+07,-9.68956e+06
163,2.92702e+07,-2.43371e+07
164,2.11316e+07,-2.88336e+07
165,1.49638e+07,-3.38304e+07
166,-3.83836e+07,4.84892e+06
167,3.42505e+07,-1.56254e+07
168,3.63463e+07,2.04074e+07
169,1.17019e+07,3.45563e+07
170,-1.1815e+07,3.33222e+07
171,-3.93276e+07,3.40184e+06
172,-2.69014e+07,2.01594e+07
173,3.42828e+07,6.84739e+06
174,3.39329e+07,-6.76513e+06
175,-1.48613e+07,-3.22488e+07
176,1.33662e+07,-3.15753e+07
177,-3.01995e+07,-1.4671e+07
178,3.58476e+07,1.93951e+06
179,2.52561e+07,-2.23768e+07
180,-1.16354e+06,-3.43684e+07
181,-2.30934e+07,2.60804e+07
182,3.07503e+07,-1.51228e+07
183,3.363e+07,-6.07848e+06
184,-2.83942e+07,-2.07842e+07
185,-1.35613e+07,-3.3441e+07
186,-2.85134e+07,-1.28839e+07
187,3.18487e+07,-5.07407e+06
188,3.31775e+07,1.17613e+06
189,1.62368e+07,3.00785e+07
190,2.57984e+07,2.11244e+07
191,1.90247e+07,2.42192e+07
192,9.05791e+06,2.96142e+07
193,6.48528e+06,3.32908e+07
194,1.764e+07,2.34151e+07
195,2.86292e+07,1.53852e+07
196,-9.00115e+06,2.63848e+07
197,4.36732e+06,-3.05024e+07
198,-5.71446e+06,3.21234e+07
199,-3.17845e+07,1.16226e+06
200,-2.47938e+07,-1.88221e+07
