body_index,force_x,force_y
0,4464.83,-3157.28
1,-1.10351e+08,1.13922e+08
2,3.55844e+07,1.33728e+08
3,-6.19056e+06,1.50577e+08
4,9.16229e+07,1.16798e+08
5,6.22964e+07,-1.31251e+08
6,-1.10075e+08,-9.44518e+07
7,1.30192e+08,-1.15151e+07
8,-1.4115e+08,7.35029e+06
9,8.64782e+07,-1.24544e+08
10,9.62096e+07,-9.84862e+07
11,1.36501e+08,1.07208e+07
12,4.0282e+07,1.26587e+08
13,-1.29335e+08,-320873
14,8.7156e+07,-9.99715e+07
15,-1.3045e+08,-1.18049e+07
16,1.32484e+08,4.78612e+06
17,-1.20902e+08,-1.12397e+07
18,-9.14821e+07,7.63197e+07
19,-5.78618e+06,-1.17531e+08
20,1.19411e+08,1.07954e+07
21,9.05776e+06,1.12421e+08
22,5.75838e+07,9.54667e+07
23,9.7285e+07,-4.33643e+07
24,2.53792e+07,-1.03404e+08
25,-4.73934e+07,-9.10702e+07
26,-9.60131e+07,3.23399e+07
27,-7.11381e+07,7.89299e+07
28,-9.86383e+07,2.5575e+07
29,-3.50438e+07,9.37355e+07
30,-7.47108e+07,-6.91103e+07
31,4.95119e+07,8.53487e+07
32,-1.03155e+08,-1.97585e+06
33,-6.13316e+07,-6.19019e+07
34,-5.23494e+07,8.1173e+07
35,-4.74715e+06,-9.37588e+07
36,-9.18052e+07,-7.94342e+06
37,5.28553e+07,7.52756e+07
38,-8.45245e+07,-3.63815e+07
39,-4.53342e+07,-8.59572e+07
40,8.33448e+07,-4.08981e+07
41,4.06045e+07,-8.06336e+07
42,-8.579e+07,-2.85684e+07
43,8.59918e+07,2.60673e+07
44,-4.69141e+07,-7.65566e+07
45,-6.95717e+06,8.48165e+07
46,-8.12704e+07,-2.33333e+07
47,4.49219e+07,6.06031e+07
48,7.69271e+07,2.98181e+07
49,-3.53523e+07,-6.90867e+07
50,-1.1072e+07,8.17943e+07
51,5.50591e+07,-5.96358e+07
52,-2.63918e+07,7.96528e+07
53,-7.48143e+07,1.76561e+07
54,-3.09908e+07,-7.57659e+07
55,-7.97064e+07,-1.8156e+07
56,2.59592e+07,7.23261e+07
57,4.6135e+07,7.43384e+07
58,-5.64839e+07,-5.46741e+07
59,-1.53808e+07,-7.46717e+07
60,-6.77564e+07,-2.96486e+07
61,-7.08864e+07,2.09936e+07
62,-4.89669e+07,-4.51593e+07
63,-4.16713e+07,-5.74746e+07
64,-1.75027e+07,-7.27763e+07
65,-5.4558e+07,4.1199e+07
66,3.46946e+07,6.34143e+07
67,-6.99396e+07,2.17951e+07
68,-6.95213e+07,1.09599e+07
69,-3.92118e+07,-6.21546e+07
70,5.23046e+07,-4.29267e+07
71,6.41575e+07,-2.6223e+07
72,-6.60842e+07,-1.59136e+07
73,-2.05604e+06,-6.47214e+07
74,-6.49309e+07,-3.2354e+07
75,-3.94548e+07,-5.18691e+07
76,4.00963e+07,4.96499e+07
77,3.44661e+07,-4.68181e+07
78,2.78477e+07,5.6084e+07
79,1.4383e+07,-6.1917e+07
80,5.34872e+07,2.29407e+07
81,-6.0595e+07,3.90571e+06
82,-3.98708e+07,-4.4907e+07
83,3.92332e+07,-4.66922e+07
84,1.08664e+07,-5.71677e+07
85,4.32409e+07,3.83027e+07
86,4.46354e+07,-3.98159e+07
87,5.40584e+07,2.43743e+07
88,-3.58974e+07,-4.77371e+07
89,-1.41553e+07,-5.55322e+07
90,3.808e+07,-4.94148e+07
91,-9.20537e+06,-5.20291e+07
92,-2.39345e+07,-5.07634e+07
93,1.81358e+07,5.4581e+07
94,1.30771e+07,-5.32988e+07
95,4.01188e+06,5.58385e+07
96,-4.72568e+07,2.11672e+07
97,-5.20848e+07,-1.98611e+07
98,3.68701e+07,4.13121e+07
99,-5.5116e+07,1.04454e+07
100,-6.98095e+06,-5.82384e+07
